Variable:,pr
,Uganda,Adjumani,Busia,Hoima,Jinja,Kabale,Kalangala,Kasese,Kibaale,Kisoro,Moyo,Ntungamo,Ssembabule,Kabarole,Kaberamaido,Kampala,Kamwenge,Kanungu,Kayunga,Mayuge,Nakasongola,Rukungiri,Wakiso,Yumbe,Amolatar,Amuria,Butaleja,Ibanda,Isingiro,Kaabong,Kaliro,Katakwi,Kiruhura,Koboko,Luwero,Mbale,Mbarara,Mityana,Mubende,Nakaseke,Tororo,Budaka,Abim,Amuru,Buliisa,Kotido,Namutumba,Maracha,Oyam,Dokolo,Arua,Manafwa,Bukedea,Bududa,Rakai,Lyantonde,Amudat,Buikwe,Buyende,Kamuli,Kitgum,Lamwo,Nakapiripirit,Nebbi,Otuke,Zombo,Kyegegwa,Kyenjojo,Apac,Bugiri,Bukomansimbi,Bukwo,Bulambuli,Bundibugyo,Bushenyi,Butambala,Iganga,Kalungu,Kapchorwa,Sheema,Kole,Kween,Luuka,Masaka,Masindi,Moroto,Napak,Ngora,Buhweju,Ntoroko,Pader,Rubirizi,Sironko,Soroti,Agago,Alebtong,Buvuma,Gomba,Gulu,Kiboga,Kibuku,Kiryandongo,Kumi,Kyankwanzi,Mitooma,Mpigi,Nwoya,Serere,Lwengo,Mukono,Namayingo,Pallisa,Lira
1911,1107.62,988.47,1266.40,1132.24,1315.54,812.63,1115.14,986.38,1117.80,895.70,915.91,777.07,1069.85,1066.63,1331.87,1312.10,988.00,804.67,1383.50,1226.37,1348.78,795.87,1288.85,1000.46,1347.64,1152.16,1307.95,995.96,903.99,731.62,1338.37,1027.32,999.79,1089.07,1357.11,1175.51,885.26,1249.18,1124.28,1267.38,1358.53,1185.79,930.88,1107.05,1122.16,784.45,1300.85,1199.12,1334.08,1321.25,1093.64,1365.75,1053.79,1074.25,1227.23,1038.30,807.35,1307.97,1404.47,1350.36,955.92,989.91,839.33,1041.11,1179.51,1269.11,1069.26,1099.82,1354.88,1262.03,1161.13,987.30,1030.76,1116.70,905.02,1273.20,1307.14,1161.78,1050.47,843.44,1368.08,955.17,1326.59,1255.83,1281.36,684.19,858.27,1238.53,990.76,1116.40,1207.52,895.73,1053.94,1250.01,1074.81,1261.89,1187.46,1168.93,1258.20,1188.06,1258.42,1287.70,1159.46,1224.00,810.29,1261.67,1184.77,1339.86,1078.49,1300.03,1206.49,1239.14,1322.19
1912,1217.80,1079.72,1398.82,1174.32,1456.00,1156.60,1385.86,1091.93,1167.59,1284.90,1022.17,1019.81,1180.72,1130.74,1371.09,1428.90,1078.15,1057.61,1383.22,1389.09,1347.74,1021.31,1391.61,1108.37,1359.70,1220.26,1457.56,1117.12,1123.20,806.20,1434.25,1133.90,1137.18,1199.30,1352.77,1342.24,1073.49,1312.63,1180.65,1294.60,1515.71,1344.63,999.93,1188.91,1159.49,853.58,1445.86,1282.00,1379.78,1361.23,1157.67,1527.81,1218.34,1247.31,1496.21,1190.40,979.99,1453.56,1426.07,1439.56,1043.95,1105.08,994.83,1081.62,1247.63,1308.06,1135.96,1161.30,1370.11,1400.33,1318.25,1218.70,1195.93,1171.35,1080.98,1349.53,1446.64,1310.85,1223.96,1055.16,1403.07,1161.71,1451.99,1488.00,1300.89,796.58,961.98,1350.34,1130.83,1157.48,1290.27,1036.13,1224.24,1311.80,1152.92,1318.80,1418.38,1237.39,1335.00,1228.46,1412.04,1304.57,1292.69,1256.30,1035.97,1372.23,1231.10,1397.17,1243.02,1418.18,1374.79,1388.74,1371.20
1913,989.64,808.54,1225.10,926.63,1237.91,784.12,1132.36,843.59,935.34,848.10,759.96,739.86,956.81,905.50,1157.19,1202.30,847.46,736.71,1182.02,1219.72,1126.47,726.03,1151.24,827.90,1146.62,1024.19,1252.36,863.57,855.39,653.65,1218.68,964.35,886.17,904.22,1141.94,1159.71,803.88,1074.61,956.30,1055.47,1309.17,1149.48,831.44,903.04,902.87,710.34,1237.22,1002.79,1110.16,1144.21,894.56,1323.05,1049.80,1072.80,1226.86,954.40,823.26,1241.86,1214.66,1222.48,808.98,825.63,845.95,841.25,1025.71,1033.23,910.24,933.90,1143.12,1207.02,1113.25,998.50,1029.57,943.83,809.96,1109.86,1234.54,1104.42,1052.38,777.42,1164.32,964.25,1230.75,1249.64,1043.81,678.52,812.76,1143.37,862.09,937.12,1003.60,785.08,1055.33,1108.48,920.51,1100.13,1214.70,1013.81,1031.79,995.15,1199.57,1056.03,1100.89,1015.70,747.99,1128.44,963.27,1183.83,1013.12,1192.46,1217.16,1179.57,1128.80
1914,1252.33,1248.79,1481.65,1176.09,1514.06,975.80,1350.65,1047.45,1157.97,1056.20,1197.43,934.90,1152.86,1109.12,1421.90,1460.90,1049.22,930.40,1442.31,1466.25,1391.57,916.90,1380.73,1307.55,1407.26,1268.89,1544.59,1078.53,1066.94,847.10,1484.59,1193.53,1100.17,1416.52,1394.05,1448.23,1020.60,1284.86,1163.72,1300.52,1617.00,1424.55,1029.69,1340.21,1212.92,887.93,1521.99,1497.17,1443.72,1409.06,1332.82,1636.93,1316.62,1346.96,1424.92,1154.20,999.63,1505.50,1468.49,1491.90,1135.41,1246.62,1030.95,1219.10,1303.09,1469.95,1118.24,1145.42,1416.13,1470.87,1285.61,1248.50,1291.65,1150.33,1021.10,1314.22,1515.50,1278.79,1323.41,985.59,1446.65,1201.11,1506.94,1430.89,1338.12,788.45,991.47,1409.29,1082.00,1146.32,1387.93,982.12,1327.51,1369.20,1227.80,1361.75,1459.04,1210.82,1462.10,1216.21,1474.12,1367.80,1358.74,1251.72,948.56,1337.36,1347.09,1444.66,1205.27,1450.44,1459.57,1450.55,1422.31
1915,1261.17,1285.91,1442.83,1196.90,1513.12,1073.51,1391.48,1080.15,1185.26,1161.30,1257.75,1005.66,1221.01,1141.84,1410.19,1471.80,1095.02,977.74,1464.03,1492.48,1421.49,958.26,1417.30,1370.07,1417.06,1218.06,1475.49,1135.40,1157.37,813.73,1459.94,1124.96,1170.74,1480.35,1422.54,1320.22,1091.27,1336.05,1203.68,1338.26,1519.28,1345.55,960.76,1348.49,1231.91,826.85,1474.69,1559.13,1422.29,1393.85,1370.61,1521.34,1191.37,1210.11,1548.22,1238.70,892.89,1524.70,1462.79,1487.45,1094.26,1260.97,936.82,1240.36,1248.29,1498.24,1160.23,1183.94,1421.68,1444.89,1369.23,1073.30,1162.34,1176.63,1076.68,1378.32,1485.96,1360.21,1185.10,1046.14,1431.98,1047.64,1499.34,1535.83,1370.48,738.70,932.60,1366.90,1137.41,1170.44,1341.25,1018.93,1191.22,1332.12,1162.47,1324.08,1485.42,1269.36,1441.59,1245.95,1431.82,1371.63,1299.14,1292.83,1001.24,1391.16,1337.88,1423.66,1293.55,1461.87,1490.88,1401.74,1394.92
1916,1246.97,1213.55,1461.82,1186.22,1459.04,1022.27,1373.46,1079.40,1175.52,1119.80,1170.23,942.01,1181.90,1149.79,1417.53,1390.40,1083.07,959.95,1419.93,1460.91,1383.66,940.27,1373.87,1285.42,1407.75,1253.04,1486.12,1102.64,1065.24,829.08,1460.69,1165.27,1119.78,1399.84,1381.44,1388.81,1021.31,1305.95,1183.17,1302.54,1562.70,1375.79,1009.02,1305.50,1208.89,866.87,1464.92,1465.06,1434.80,1405.51,1299.74,1584.26,1257.13,1285.63,1467.38,1183.50,975.72,1453.16,1464.27,1453.28,1106.30,1217.19,1001.89,1195.06,1279.83,1453.19,1144.30,1174.61,1418.85,1424.57,1327.16,1208.60,1232.67,1189.89,1034.57,1342.18,1457.51,1319.05,1261.17,990.83,1453.25,1161.24,1453.90,1481.94,1348.50,785.60,973.12,1386.51,1102.98,1181.03,1354.43,1005.90,1264.05,1356.18,1192.45,1352.63,1459.47,1237.88,1426.38,1226.02,1438.71,1363.79,1326.08,1261.50,959.84,1360.29,1320.33,1436.82,1237.62,1402.35,1469.82,1418.88,1416.85
1917,1272.58,1192.97,1486.68,1206.57,1511.27,1086.08,1381.77,1133.77,1196.01,1205.50,1151.86,974.67,1196.25,1186.96,1447.52,1469.50,1107.02,1034.81,1454.93,1429.90,1400.49,1007.03,1420.81,1238.69,1422.70,1331.08,1539.32,1129.63,1093.15,866.19,1525.65,1245.52,1141.31,1336.28,1415.86,1453.93,1049.31,1332.16,1201.64,1322.29,1620.38,1444.21,1076.75,1286.29,1199.86,918.19,1517.26,1407.03,1449.56,1435.82,1253.02,1645.00,1326.00,1363.77,1495.09,1197.30,1128.99,1481.66,1514.64,1511.92,1135.00,1226.53,1121.10,1139.17,1331.83,1419.86,1161.28,1196.30,1435.00,1457.07,1352.02,1445.10,1308.64,1242.33,1070.02,1368.58,1511.64,1342.19,1339.40,1024.09,1476.91,1355.00,1518.64,1510.21,1353.58,871.39,1048.91,1471.34,1137.31,1221.52,1379.26,1053.19,1333.61,1435.17,1235.49,1397.04,1415.10,1247.92,1424.69,1253.69,1511.25,1373.28,1404.44,1286.02,1008.10,1399.51,1305.66,1492.82,1256.55,1448.03,1420.47,1494.28,1446.70
1918,860.27,922.80,902.47,840.97,927.46,840.45,898.17,861.15,853.87,940.60,908.62,740.35,853.81,886.53,918.51,959.50,824.76,799.20,934.50,920.83,915.23,775.37,935.53,997.06,918.34,795.47,935.74,844.49,790.91,586.79,950.26,734.15,833.49,1091.36,922.33,858.12,777.68,904.34,843.57,880.68,967.89,873.23,659.23,960.28,840.06,582.28,933.05,1178.24,947.41,909.92,1008.66,973.16,784.85,799.09,1042.88,854.40,625.16,945.10,966.78,939.22,781.61,905.27,642.22,878.34,837.55,1118.44,842.71,884.07,926.96,899.74,939.82,778.70,770.40,930.58,815.13,933.00,927.27,934.97,784.61,779.72,939.18,744.18,930.04,1043.28,906.47,522.37,622.66,871.64,865.50,905.24,923.65,805.94,784.94,839.52,807.69,872.22,910.70,884.07,1006.35,846.08,926.24,907.37,843.22,869.60,771.26,931.46,925.32,932.49,887.82,940.84,928.18,914.22,922.37
1919,1229.68,1243.15,1314.36,1266.80,1361.53,1108.48,1258.51,1146.98,1239.27,1248.90,1198.01,973.44,1180.35,1210.74,1370.74,1318.60,1118.57,1060.66,1385.32,1327.65,1383.44,1026.11,1331.64,1323.07,1385.36,1212.65,1358.50,1131.44,1079.12,830.92,1380.52,1105.72,1140.05,1439.95,1363.25,1257.53,1053.10,1307.56,1208.32,1325.35,1414.84,1255.24,988.24,1323.75,1273.95,854.78,1345.67,1545.56,1429.43,1366.59,1371.36,1427.67,1144.58,1171.22,1391.11,1176.10,931.81,1354.02,1431.46,1383.24,1102.80,1227.10,945.70,1251.13,1250.88,1563.30,1185.59,1238.63,1408.19,1305.37,1261.16,1155.50,1125.73,1271.62,1067.12,1326.69,1349.13,1258.28,1149.77,1023.22,1441.14,1102.03,1365.88,1387.23,1379.80,767.55,946.24,1295.64,1130.25,1267.85,1350.74,1054.62,1149.46,1302.31,1174.20,1317.33,1305.89,1233.58,1422.46,1261.05,1314.10,1381.71,1224.40,1308.74,1016.90,1321.78,1343.18,1380.66,1209.46,1329.88,1328.21,1299.42,1396.70
1920,1170.32,1184.67,1311.16,1085.19,1346.28,994.00,1143.51,990.85,1062.41,1112.70,1125.39,864.80,1051.08,1044.76,1316.14,1296.90,973.83,913.35,1307.34,1250.65,1262.32,882.62,1249.63,1219.96,1292.52,1285.60,1333.13,992.68,959.19,964.58,1355.16,1165.49,1001.21,1319.64,1266.33,1229.74,922.22,1188.64,1063.98,1180.46,1393.96,1245.47,1118.05,1275.82,1118.67,995.36,1323.44,1413.02,1346.97,1305.48,1260.61,1408.40,1120.99,1139.72,1296.86,1048.00,1095.89,1316.59,1362.39,1351.32,1204.05,1242.43,1074.93,1132.80,1288.67,1409.86,1024.83,1060.81,1304.09,1281.38,1177.57,1132.10,1103.82,1090.95,940.91,1224.23,1330.07,1171.97,1117.17,902.57,1348.69,1120.93,1353.37,1306.20,1233.99,936.53,1085.30,1313.64,1000.18,1080.50,1366.87,917.58,1116.36,1304.91,1274.31,1271.50,1205.11,1116.69,1389.65,1110.56,1325.18,1263.10,1241.11,1141.92,886.43,1223.01,1265.86,1343.27,1096.83,1277.29,1230.19,1308.54,1328.61
1921,944.84,971.52,1054.42,976.26,1083.45,837.59,1048.45,869.79,957.09,938.60,932.59,736.85,925.28,931.60,1041.87,1055.90,859.62,780.31,1051.63,1093.89,1035.28,756.69,1059.10,1013.89,1052.75,925.67,1073.57,872.43,832.36,507.87,1064.94,855.45,883.63,1097.78,1031.57,1057.87,805.55,1016.06,935.66,1000.98,1140.66,1023.56,647.09,1047.18,969.45,544.00,1047.10,1183.97,1108.94,1041.79,1051.70,1166.71,976.45,1003.07,1124.38,920.50,634.02,1090.24,1072.02,1073.45,758.24,918.70,681.53,965.18,910.97,1178.39,914.10,954.25,1069.54,1027.28,1024.89,999.10,963.14,976.24,812.86,1041.85,1057.24,1019.12,989.34,774.25,1107.89,913.78,1076.94,1137.92,1038.59,475.60,636.03,1023.67,869.60,976.95,1033.41,798.44,988.80,1011.67,797.75,1007.52,1081.77,963.94,1131.63,966.75,1043.55,1047.70,985.76,1012.15,758.95,1061.58,1053.17,1052.71,959.34,1051.19,1106.01,1039.63,1077.28
1922,1121.60,1121.91,1275.05,1152.02,1297.11,1075.47,1170.95,1078.77,1119.70,1198.40,1075.98,955.05,1108.59,1125.39,1249.39,1173.80,1036.46,1017.31,1275.98,1267.59,1245.87,985.94,1195.25,1188.73,1259.47,1095.43,1297.35,1067.81,1067.20,639.57,1271.79,1044.43,1082.13,1298.35,1234.89,1240.73,1021.89,1160.47,1090.98,1167.14,1358.12,1228.53,827.42,1185.68,1130.06,700.45,1279.37,1397.53,1305.46,1245.64,1236.84,1377.35,1149.35,1170.01,1383.83,1125.10,792.17,1255.12,1264.36,1284.43,913.83,1049.27,855.76,1111.15,1098.25,1431.03,1074.94,1121.53,1278.02,1244.97,1222.49,1136.70,1133.69,1188.52,1028.93,1195.43,1283.02,1213.71,1152.85,995.09,1311.67,1061.02,1292.68,1366.30,1237.77,630.12,810.71,1233.73,1081.40,1172.77,1205.35,1007.96,1153.73,1206.56,982.37,1201.17,1201.94,1125.99,1298.88,1109.55,1272.70,1247.53,1196.16,1195.29,985.24,1211.37,1208.98,1251.94,1168.33,1182.41,1269.51,1259.05,1274.90
1923,1299.20,1214.25,1544.29,1250.08,1587.34,1082.27,1504.73,1113.05,1247.46,1203.00,1159.04,962.94,1246.52,1181.73,1465.36,1506.50,1118.48,1003.19,1493.04,1551.66,1444.39,974.72,1483.30,1276.47,1455.44,1307.76,1592.95,1131.54,1140.70,810.79,1552.96,1220.49,1169.81,1389.32,1451.82,1526.55,1060.39,1396.25,1250.66,1387.94,1683.97,1475.61,1000.28,1306.65,1219.70,854.68,1557.55,1492.20,1447.61,1452.08,1314.58,1714.67,1385.94,1428.39,1621.66,1248.00,1037.51,1576.61,1556.63,1566.10,1087.41,1201.77,1054.62,1192.91,1322.39,1475.38,1202.09,1226.07,1453.92,1524.92,1422.69,1371.00,1361.17,1225.83,1048.91,1432.98,1566.70,1413.11,1404.79,1004.54,1494.43,1295.74,1579.43,1622.37,1366.59,795.41,989.55,1452.05,1116.44,1220.88,1366.07,1025.80,1406.64,1419.90,1211.16,1397.52,1557.31,1315.06,1433.18,1305.35,1507.30,1368.53,1395.16,1343.51,982.58,1472.07,1322.63,1509.27,1317.66,1502.92,1545.79,1491.68,1453.54
